"RegimeID", "Regime Type", "Page", "Book Area(s)/NM Area(s)", "Target(s)"
    0,    Fields of Valor,    ,    None,    No regime.
    1,    Fields of Valor,    ,    West Ronfaure,    Worms
    2,    Fields of Valor,    ,    West Ronfaure,    Hares
    3,    Fields of Valor,    ,    West Ronfaure,    Beetles/Funguars
    4,    Fields of Valor,    ,    West Ronfaure,    Orcs/Beetles
    5,    Fields of Valor,    ,    La Theine Plateau,    Saplings/Wasps
    6,    Fields of Valor,    ,    La Theine Plateau,    Funguars
    7,    Fields of Valor,    ,    Valkurm Dunes,    Lizards/Hares
    8,    Fields of Valor,    ,    Valkurm Dunes,    Crabs/Lizards
    9,    Fields of Valor,    ,    Valkurm Dunes,    Flies/Crabs
   10,    Fields of Valor,    ,    Valkurm Dunes,    Sheep/Flies
   11,    Fields of Valor,    ,    Jugner Forest,    Leeches
   12,    Fields of Valor,    ,    Jugner Forest,    Beetles/Leeches
   13,    Fields of Valor,    ,    Jugner Forest,    Funguars/Beetles
   14,    Fields of Valor,    ,    Jugner Forest,    Funguars/Tigers
   15,    Fields of Valor,    ,    Batallia Downs,    Flies/Bas
   16,    Fields of Valor,    ,    North Gustaberg,    Worms
   17,    Fields of Valor,    ,    North Gustaberg,    Hornets
   18,    Fields of Valor,    ,    North Gustaberg,    Vultures/Saplings
   19,    Fields of Valor,    ,    North Gustaberg,    Quadav/Lizards
   20,    Fields of Valor,    ,    Konschtat Highlands,    Worms/Lizards
   21,    Fields of Valor,    ,    Pashhow Marshlands,    Flies
   22,    Fields of Valor,    ,    Pashhow Marshlands,    Leeches/Flies
   23,    Fields of Valor,    ,    Pashhow Marshlands,    Crawlers/Leeches
   24,    Fields of Valor,    ,    Pashhow Marshlands,    Funguars/Crawlers
   25,    Fields of Valor,    ,    Rolanberry Fields,    Wasps/Crawlers
   26,    Fields of Valor,    ,    West Sarutabaruta,    Mandragoras
   27,    Fields of Valor,    ,    West Sarutabaruta,    Rarabs
   28,    Fields of Valor,    ,    West Sarutabaruta,    Crawlers/Birds
   29,    Fields of Valor,    ,    West Sarutabaruta,    Yagudo/Crawler
   30,    Fields of Valor,    ,    Tahrongi Canyon,    Saplings/Bees
   31,    Fields of Valor,    ,    Tahrongi Canyon,    Akababas
   32,    Fields of Valor,    ,    Buburimu Peninsula,    Mandragoras/Rarabs
   33,    Fields of Valor,    ,    Buburimu Peninsula,    Crawlers/Mandragoras
   34,    Fields of Valor,    ,    Buburimu Peninsula,    Dhalmel/Crawlers
   35,    Fields of Valor,    ,    Buburimu Peninsula,    Leeches/Dhalmel
   36,    Fields of Valor,    ,    Meriphataud Mountains,    Flies
   37,    Fields of Valor,    ,    Meriphataud Mountains,    Lizards/Flies
   38,    Fields of Valor,    ,    Meriphataud Mountains,    Beetles/Lizards
   39,    Fields of Valor,    ,    Meriphataud Mountains,    Raptors/Beetles
   40,    Fields of Valor,    ,    Sauromugue Champaign,    Lizards/Beetles
   41,    Fields of Valor,    ,    Qufim Island,    Clippers/Worms
   42,    Fields of Valor,    ,    Qufim Island,    Clippers/Seeker Bats
   43,    Fields of Valor,    ,    Qufim Island,    Pugils/Clippers
   44,    Fields of Valor,    ,    Qufim Island,    Gigas/Pugils
   45,    Fields of Valor,    ,    Qufim Island,    Acrophies/Gigas/Pugils
   46,    Fields of Valor,    ,    Beaucedine Glacier,    Tigers/Goblins
   47,    Fields of Valor,    ,    Beaucedine Glacier,    Tigers/Statues
   48,    Fields of Valor,    ,    Beaucedine Glacier,    Bat Eyes/Statues
   49,    Fields of Valor,    ,    Beaucedine Glacier,    Goblin/Bat Eyes/Statues
   50,    Fields of Valor,    ,    Beaucedine Glacier,    Gigas/Goblin/Bat Eye
   51,    Fields of Valor,    ,    Xarcabard,    Skeleton/Etemmu
   52,    Fields of Valor,    ,    Xarcabard,    Skeleton/Evil Weapon
   53,    Fields of Valor,    ,    Xarcabard,    Evil Eyes/Skeleton/Evil Weapons
   54,    Fields of Valor,    ,    Xarcabard,    Gigas/Evil Eyes/Skeletons
   55,    Fields of Valor,    ,    Xarcabard,    Demon/Gigas/Evil Eye
   56,    Fields of Valor,    ,    West Ronfaure,    Sheep/Goblin
   57,    Fields of Valor,    ,    Valkurm Dunes,    Leeches/Goblin
   58,    Fields of Valor,    ,    Jugner Forest,    Sapling/Screamer
   59,    Fields of Valor,    ,    North Gustaberg,    Quadav/Sheep
   60,    Fields of Valor,    ,    Pashhow Marshlands,    Quadav/Funguar/Goobbue
   61,    Fields of Valor,    ,    West Sarutabaruta,    Yagudo/Bee
   62,    Fields of Valor,    ,    Buburimu Peninsula,    Pugil/Goblin
   63,    Fields of Valor,    ,    Meriphataud Mountains,    Coeurls/Evil Weapons
   64,    Fields of Valor,    ,    East Ronfaure,    Pugils
   65,    Fields of Valor,    ,    East Ronfaure,    Worms
   66,    Fields of Valor,    ,    East Ronfaure,    Hares
   67,    Fields of Valor,    ,    East Ronfaure,    Orcs/Funguar
   68,    Fields of Valor,    ,    East Ronfaure,    Sheep/Beetles
   69,    Fields of Valor,    ,    Latheine Plateau (note the typo),    Sheep/Akbabas
   70,    Fields of Valor,    ,    Latheine Plateau (note the typo),    Sheep/Crab
   71,    Fields of Valor,    ,    Latheine Plateau (note the typo),    Bats/Funguar
   72,    Fields of Valor,    ,    Battalia Downs,    Saplings/Flies
   73,    Fields of Valor,    ,    Battalia Downs,    Saplings/Bas
   74,    Fields of Valor,    ,    Battalia Downs,    Tigers/Goblins/Orcs
   75,    Fields of Valor,    ,    Battalia Downs,    Tigers
   76,    Fields of Valor,    ,    South Gustaberg,    Bees
   77,    Fields of Valor,    ,    South Gustaberg,    Worms
   78,    Fields of Valor,    ,    South Gustaberg,    Vultures/Saplings
   79,    Fields of Valor,    ,    South Gustaberg,    Goblins
   80,    Fields of Valor,    ,    South Gustaberg,    Lizards/Crabs
   81,    Fields of Valor,    ,    Konschtat Highlands,    Saplings/Wasps
   82,    Fields of Valor,    ,    Konschtat Highlands,    Wasps/Lizards
   83,    Fields of Valor,    ,    Konschtat Highlands,    Quadav
   84,    Fields of Valor,    ,    Konschtat Highlands,    Ambushers/Tinkerers/Butchers
   85,    Fields of Valor,    ,    Rolanberry Fields,    Wasps/Leeches
   86,    Fields of Valor,    ,    Rolanberry Fields,    Crawlers/Goblins
   87,    Fields of Valor,    ,    Rolanberry Fields,    Crawlers/Quadav
   88,    Fields of Valor,    ,    Rolanberry Fields,    Ochu
   89,    Fields of Valor,    ,    East Sarutabaruta,    Mandragora
   90,    Fields of Valor,    ,    East Sarutabaruta,    Bee
   91,    Fields of Valor,    ,    East Sarutabaruta,    Rarabs
   92,    Fields of Valor,    ,    East Sarutabaruta,    Crabs/Crawlers
   93,    Fields of Valor,    ,    East Sarutabaruta,    Crows/Crawlers
   94,    Fields of Valor,    ,    Tahrongi Canyon,    Rarabs/Pygmaioi
   95,    Fields of Valor,    ,    Tahrongi Canyon,    Pygmaioi/Bees
   96,    Fields of Valor,    ,    Tahrongi Canyon,    Crawlers/Dhalmel
   97,    Fields of Valor,    ,    Sauromugue Champaign,    Raptors/Goblins
   98,    Fields of Valor,    ,    Sauromugue Champaign,    Coeurls/Goblins
   99,    Fields of Valor,    ,    Sauromugue Champaign,    Raptors/Yagudo
  100,    Fields of Valor,    ,    Sauromugue Champaign,    Tabar Beaks/Evil Weapons
  101,    Fields of Valor,    ,    Behemoth's Dominion,    Lesser Gaylas/Greater Gaylas
  102,    Fields of Valor,    ,    Behemoth's Dominion,    Lesser Gayla/Evil Weapon
  103,    Fields of Valor,    ,    Behemoth's Dominion,    Greater Gayla/Undead
  104,    Fields of Valor,    ,    Cape Teriggan,    Bunnies/Lizards
  105,    Fields of Valor,    ,    Cape Teriggan,    Crabs/Goblins
  106,    Fields of Valor,    ,    Cape Teriggan,    Crabs/Raptors
  107,    Fields of Valor,    ,    Cape Teriggan,    Crabs/Cockatrices
  108,    Fields of Valor,    ,    Cape Teriggan,    Cockatrices/Manticores
  109,    Fields of Valor,    ,    Eastern Altepa Desert,    Spiders
